,Rent Index
1996-01-31,253551.9454428985
1996-02-29,251115.70443022653
1996-03-31,250435.54061653907
1996-04-30,249308.4171434815
1996-05-31,250195.12609011063
1996-06-30,249946.46733756212
1996-07-31,250328.38462750337
1996-08-31,251619.4071998273
1996-09-30,252286.4906217492
1996-10-31,253115.06526355227
1996-11-30,253652.01297128768
1996-12-31,254582.6891529645
1997-01-31,255749.95741546605
1997-02-28,257303.5923994753
1997-03-31,258568.9052162148
1997-04-30,260165.47991436516
1997-05-31,264124.35159066407
1997-06-30,265694.6585904843
1997-07-31,268817.3728399121
1997-08-31,271058.1264061448
1997-09-30,273409.66529463296
1997-10-31,275322.9585760585
1997-11-30,278070.9891363459
1997-12-31,280687.0822665155
1998-01-31,283022.82899871434
1998-02-28,285427.97338357585
1998-03-31,287797.3416844892
1998-04-30,290328.1110004319
1998-05-31,294047.9377983835
1998-06-30,297438.3888892318
1998-07-31,301203.1117484319
1998-08-31,303018.23595321714
1998-09-30,306661.3501853118
1998-10-31,308809.1880096901
1998-11-30,310241.82954872743
1998-12-31,311492.00128461927
1999-01-31,314973.18028989027
1999-02-28,316756.5704732732
1999-03-31,319364.64428085537
1999-04-30,322139.4195839663
1999-05-31,325963.5335305378
1999-06-30,329695.728030633
1999-07-31,331021.9932828306
1999-08-31,335194.2692849176
1999-09-30,338642.59392024344
1999-10-31,346314.68108492735
1999-11-30,349459.68811859936
1999-12-31,354299.488493063
2000-01-31,360045.8242864232
2000-02-29,363039.1967526999
2000-03-31,369095.4699565252
2000-04-30,381382.16022078216
2000-05-31,392775.2709973279
2000-06-30,396343.5676714738
2000-07-31,405564.56957781885
2000-08-31,410843.29576830886
2000-09-30,418725.2123862436
2000-10-31,426403.155407479
2000-11-30,432269.8333859248
2000-12-31,440218.0369205399
2001-01-31,442262.0558130233
2001-02-28,447812.9923319144
2001-03-31,458773.1309984007
2001-04-30,464500.8103534921
2001-05-31,467890.62861360266
2001-06-30,470696.7709220955
2001-07-31,473950.1635073712
2001-08-31,475090.6123864126
2001-09-30,477140.39420172543
2001-10-31,476774.8294359816
2001-11-30,476190.2067001679
2001-12-31,473274.2366987757
2002-01-31,471531.33230350167
2002-02-28,473832.64996507776
2002-03-31,477615.8930974683
2002-04-30,484146.2715556544
2002-05-31,490385.5228714493
2002-06-30,498077.16080691695
2002-07-31,504500.8407645262
2002-08-31,509382.2580205114
2002-09-30,513839.0123426127
2002-10-31,515807.091387821
2002-11-30,518904.9526837677
2002-12-31,520398.4128252807
2003-01-31,521503.0409965683
2003-02-28,525757.1690036239
2003-03-31,529667.7304015139
2003-04-30,533723.1591743598
2003-05-31,535383.4303874939
2003-06-30,537198.2312566489
2003-07-31,541820.4144126062
2003-08-31,547829.0038177863
2003-09-30,552181.864659405
2003-10-31,559135.3125530158
2003-11-30,562109.1950984313
2003-12-31,566508.2396360093
2004-01-31,576879.9481048333
2004-02-29,583604.1299890833
2004-03-31,597145.3129999901
2004-04-30,606825.699282018
2004-05-31,617233.7402447779
2004-06-30,627667.5908149242
2004-07-31,638626.6646968268
2004-08-31,644973.8521605824
2004-09-30,657408.0328926087
2004-10-31,666313.832352778
2004-11-30,674493.4428481797
2004-12-31,685194.0362367544
2005-01-31,694112.4067242831
2005-02-28,705507.6440574058
2005-03-31,718351.0510192283
2005-04-30,733382.6161061918
2005-05-31,746648.3442769172
2005-06-30,753988.1835556144
2005-07-31,760032.8153290654
2005-08-31,768412.3115319686
2005-09-30,776236.1974705466
2005-10-31,783102.2015298969
2005-11-30,781574.4406236282
2005-12-31,781661.2884008958
2006-01-31,782410.4170058267
2006-02-28,786299.6077897389
2006-03-31,793219.8947240283
2006-04-30,791868.8117175733
2006-05-31,789992.134149777
2006-06-30,792228.7779127244
2006-07-31,788011.161081285
2006-08-31,787311.3782126377
2006-09-30,782800.8695032558
2006-10-31,776953.6135799055
2006-11-30,779238.2955852909
2006-12-31,776232.7813682575
2007-01-31,776364.8966801179
2007-02-28,766708.7303790497
2007-03-31,770436.1609075135
2007-04-30,770903.4471671254
2007-05-31,764080.4903452304
2007-06-30,761608.0816587224
2007-07-31,760589.227076392
2007-08-31,753011.2542113308
2007-09-30,748243.4291178217
2007-10-31,737668.9463656791
2007-11-30,728508.4326496882
2007-12-31,711814.5410988394
2008-01-31,709682.2819107374
2008-02-29,705618.6654151903
2008-03-31,695435.752854527
2008-04-30,694368.6969570861
2008-05-31,686251.2424883863
2008-06-30,673372.9365462299
2008-07-31,665566.6402104687
2008-08-31,652609.4581169181
2008-09-30,639008.0242784392
2008-10-31,633314.9739378553
2008-11-30,617370.7439634124
2008-12-31,610305.5065096034
2009-01-31,593403.8192745106
2009-02-28,592520.7294318619
2009-03-31,591237.2844302142
2009-04-30,580128.6839722205
2009-05-31,579531.4704197644
2009-06-30,586498.7917862931
2009-07-31,575550.7700887092
2009-08-31,562647.8000392817
2009-09-30,562814.815409797
2009-10-31,571854.7799491355
2009-11-30,576886.7100350716
2009-12-31,586007.7880463038
2010-01-31,587266.7112023832
2010-02-28,584661.8040285184
2010-03-31,589970.4542651104
2010-04-30,592791.2535041735
2010-05-31,594250.7074135947
2010-06-30,591592.8214382299
2010-07-31,583089.1433945906
2010-08-31,585374.6216335084
2010-09-30,576403.6040342344
2010-10-31,572748.7723313228
2010-11-30,569584.7790197451
2010-12-31,560225.8356567107
2011-01-31,558049.2033062279
2011-02-28,554151.8975293945
2011-03-31,554836.302820381
2011-04-30,551856.8389402999
2011-05-31,545244.8130684521
2011-06-30,539392.3499306142
2011-07-31,544343.5051047101
2011-08-31,529973.9291119449
2011-09-30,531238.3460450984
2011-10-31,531026.2708802456
2011-11-30,524617.780065801
2011-12-31,526184.6169374647
2012-01-31,522148.3072937051
2012-02-29,524434.8828992889
2012-03-31,531499.3249150809
2012-04-30,536358.1084693052
2012-05-31,546625.6942429872
2012-06-30,559762.1654847742
2012-07-31,557569.3465745251
2012-08-31,566982.888010956
2012-09-30,574494.5064014456
2012-10-31,582605.7794599459
2012-11-30,595696.309809011
2012-12-31,605154.1414925279
2013-01-31,624208.5707355663
2013-02-28,632503.0026438537
2013-03-31,653234.3718660437
2013-04-30,668939.4579102378
2013-05-31,686309.5821302818
2013-06-30,693889.9242544313
2013-07-31,700177.409246709
2013-08-31,702627.8731021956
2013-09-30,710625.5465287385
2013-10-31,722960.1700548055
2013-11-30,734552.4245850667
2013-12-31,750340.8563648473
2014-01-31,750323.7079243911
2014-02-28,764481.4460608232
2014-03-31,764790.7568353331
2014-04-30,771113.205760115
2014-05-31,769842.0938289639
2014-06-30,767628.39937621
2014-07-31,766965.2945704203
2014-08-31,770115.9823426078
2014-09-30,772913.6225255772
2014-10-31,783578.4673165961
2014-11-30,796136.1523256826
2014-12-31,802058.4877355847
2015-01-31,803737.3918799522
2015-02-28,825476.7361231735
2015-03-31,838009.2478626814
2015-04-30,842948.3093977962
2015-05-31,855501.5475421938
2015-06-30,863685.2878003363
2015-07-31,860994.8280341381
2015-08-31,876358.5124896738
2015-09-30,889561.3001767719
2015-10-31,892585.7533502773
2015-11-30,898362.1763134111
2015-12-31,917834.5449277806
2016-01-31,930820.9679778618
2016-02-29,936416.015246657
2016-03-31,930078.3261667634
2016-04-30,943128.9286667084
2016-05-31,945209.4175657808
2016-06-30,940597.2737222576
2016-07-31,918838.182307678
2016-08-31,921113.6690207304
2016-09-30,921075.9151029278
2016-10-31,936467.2592873208
2016-11-30,941108.5116793532
2016-12-31,950870.7170848952
2017-01-31,953128.4099830184
2017-02-28,962914.0665649916
2017-03-31,970949.074196584
2017-04-30,976049.2287873972
2017-05-31,986068.4031233228
2017-06-30,991851.126303729
2017-07-31,989842.1900965878
2017-08-31,991819.1369361464
2017-09-30,1010877.2229452064
2017-10-31,1020456.1297084112
2017-11-30,1040149.5523792844
2017-12-31,1061602.9258029712
2018-01-31,1068239.9154278615
2018-02-28,1076572.8840126786
2018-03-31,1104248.1539113326
2018-04-30,1119586.0904055156
2018-05-31,1125020.6310454097
2018-06-30,1136061.0515546757
2018-07-31,1125570.3338270583
2018-08-31,1129245.5618479147
2018-09-30,1127095.2551127826
2018-10-31,1123178.9745645665
2018-11-30,1115492.705617376
2018-12-31,1101782.6756965248
2019-01-31,1101205.4384364174
2019-02-28,1109876.7440468168
2019-03-31,1105688.4436411904
2019-04-30,1112247.3868530432
2019-05-31,1118575.6077829555
2019-06-30,1107534.9653376853
2019-07-31,1100164.3014342086
2019-08-31,1094175.6496876662
2019-09-30,1093486.350465867
2019-10-31,1094749.3039318682
2019-11-30,1099578.973393761
2019-12-31,1112894.2282950738
2020-01-31,1126596.758937925
2020-02-29,1131072.2784865885
2020-03-31,1153946.8553313485
2020-04-30,1140653.6669419396
2020-05-31,1106818.7671232272
2020-06-30,1121974.0923064798
2020-07-31,1129404.752932339
2020-08-31,1138821.3073208253
2020-09-30,1144471.1781465868
2020-10-31,1160914.7331987007
2020-11-30,1167638.1583992315
2020-12-31,1170724.0073290088
2021-01-31,1181338.7249572724
2021-02-28,1204839.706328957
2021-03-31,1226660.8846444215
2021-04-30,1255272.916198754
2021-05-31,1295124.406371833
2021-06-30,1322477.650742685
2021-07-31,1337012.9630550602
2021-08-31,1334055.1814422784
2021-09-30,1336136.350036753
2021-10-31,1342540.5082563558
2021-11-30,1363229.0022523368
2021-12-31,1375907.5658039963
2022-01-31,1398634.1027371644
2022-02-28,1444588.5047155372
2022-03-31,1474941.8642488625
2022-04-30,1489954.7409961538
2022-05-31,1490537.5175235465
2022-06-30,1462965.552152427
2022-07-31,1422219.204323836
2022-08-31,1374261.8605152697
2022-09-30,1373124.471317039
2022-10-31,1368558.0011155985
2022-11-30,1348851.2081947182
